Day,Blend_Index,Strategy,Processed,Tank_T1_Level,Tank_T1_Crude,Tank_T2_Level,Tank_T2_Crude,Tank_T3_Level,Tank_T3_Crude,Tank_T4_Level,Tank_T4_Crude,Tank_T5_Level,Tank_T5_Crude,Used_A,Used_B,Used_Base,Used_C,Used_D,Used_F,Delivery_Count,Delayed_Count
1,2,greedy,95.0,350.0,Base,150.0,B,150.0,C,100.0,D,300.0,F,,25.650000000000002,69.35,,,,0,0
2,2,greedy,95.0,280.65,Base,124.35,B,150.0,C,100.0,D,300.0,F,,25.650000000000002,69.35,,,,0,0
3,6,greedy,95.0,211.29999999999998,Base,98.69999999999999,B,150.0,C,100.0,D,300.0,F,,,,,,95.0,0,0
4,2,greedy,95.0,211.29999999999998,Base,98.69999999999999,B,150.0,C,100.0,D,205.0,F,,25.650000000000002,69.35,,,,0,0
5,6,greedy,95.0,141.95,Base,73.04999999999998,B,150.0,C,100.0,D,205.0,F,,,,,,95.0,0,0
6,2,greedy,95.0,141.95,Base,73.04999999999998,B,150.0,C,100.0,D,110.0,F,,25.650000000000002,69.35,,,,0,0
7,6,greedy,95.0,72.6,Base,47.39999999999998,B,150.0,C,100.0,D,110.0,F,,,,,,95.0,0,0
8,4,greedy,95.0,72.6,Base,47.39999999999998,B,150.0,C,100.0,D,15.0,F,,,69.35,25.650000000000002,,,2,2
9,4,greedy,95.0,180.65,Base,96.73469387755097,B,224.35,C,204.08163265306123,D,30.612244897959187,F,,,69.35,25.650000000000002,,,2,0
10,4,greedy,95.0,180.65,Base,130.95612244897956,B,198.7,C,204.08163265306123,D,30.612244897959187,F,,,69.35,25.650000000000002,,,0,0
11,2,greedy,95.0,111.30000000000001,Base,130.95612244897956,B,173.04999999999998,C,204.08163265306123,D,30.612244897959187,F,,25.650000000000002,69.35,,,,0,0
12,1,greedy,55.0,41.95000000000002,Base,105.30612244897955,A,173.04999999999998,C,204.08163265306123,D,30.612244897959187,F,14.850000000000001,,40.15,,,,0,0
13,4,greedy,95.0,1.8000000000000185,Base,90.45612244897956,Base,173.04999999999998,C,204.08163265306123,D,30.612244897959187,F,,,69.35,25.650000000000002,,,0,0
14,6,greedy,15.0,0.0,,50.77755102040814,A,119.52857142857141,C,204.08163265306123,D,30.612244897959187,F,,,,,,15.0,0,0
15,3,greedy,96.0,0.0,,50.77755102040814,A,119.52857142857141,C,204.08163265306123,D,15.612244897959187,A,,57.599999999999994,,,38.400000000000006,,1,0
16,3,greedy,96.0,92.4,B,50.77755102040814,A,119.52857142857141,C,165.68163265306123,D,15.612244897959187,A,,57.599999999999994,,,38.400000000000006,,0,0
17,0,low_inventory,0.0,34.80000000000001,B,50.77755102040814,A,119.52857142857141,C,127.28163265306122,A,15.612244897959187,A,,,,,,,0,0
18,0,low_inventory,0.0,34.80000000000001,B,50.77755102040814,A,119.52857142857141,C,127.28163265306122,A,15.612244897959187,A,,,,,,,0,0
19,0,low_inventory,0.0,34.80000000000001,B,50.77755102040814,A,119.52857142857141,C,127.28163265306122,A,15.612244897959187,A,,,,,,,0,0
20,0,low_inventory,0.0,34.80000000000001,B,50.77755102040814,A,119.52857142857141,C,127.28163265306122,A,15.612244897959187,A,,,,,,,0,0
21,0,low_inventory,0.0,34.80000000000001,B,50.77755102040814,A,119.52857142857141,C,127.28163265306122,A,15.612244897959187,A,,,,,,,0,0
22,0,low_inventory,15.0,34.80000000000001,B,50.77755102040814,A,119.52857142857141,C,127.28163265306122,A,15.612244897959187,A,,,15.0,,,,0,0
23,0,low_inventory,15.0,34.80000000000001,B,50.77755102040814,A,104.52857142857141,C,127.28163265306122,A,15.612244897959187,A,,,15.0,,,,0,0
24,4,greedy,95.0,34.80000000000001,B,50.77755102040814,A,89.52857142857141,C,127.28163265306122,A,15.612244897959187,A,,,69.35,25.650000000000002,,,2,1
25,4,greedy,83.125,34.80000000000001,B,77.52197001249476,A,217.32609329446063,C,207.33444398167427,Base,22.30320699708455,Base,,,60.68125,22.44375,,,1,0
26,4,greedy,71.25,34.80000000000001,B,55.078220012494754,A,205.21632653061224,C,224.78045345689293,Base,180.0,Base,,,52.012499999999996,19.2375,,,0,0
27,4,greedy,59.375,34.80000000000001,B,50.777551020408126,A,190.27949552269885,C,172.76795345689294,Base,180.0,Base,,,43.34375,16.03125,,,2,2
28,6,smooth,47.5,71.02040816326533,F,103.62765514369003,F,233.96875,C,206.65625,F,180.0,Base,,,,,,47.5,2,0
29,6,smooth,47.5,202.5,F,250.0,F,233.96875,C,215.28124999999994,F,180.0,Base,,,,,,47.5,0,0
30,4,smooth,47.5,155.0,F,250.0,F,233.96875,C,215.28124999999994,F,180.0,Base,,,34.675,12.825000000000001,,,0,0
31,4,smooth,47.5,155.0,F,250.0,F,221.14375,C,195.78507653061217,F,164.82117346938776,Base,,,34.675,12.825000000000001,,,0,0
